generation,num_variants,avg_mutations,avg_synonymous,avg_nonsynonymous,max_mutations,min_mutations
0,1,860.0,24.0,836.0,860,860
1,30,863.4,31.4,832.0,873,850
2,30,864.9333333333333,30.733333333333334,834.2,874,854
3,30,864.3333333333334,32.5,831.8333333333334,873,855
4,30,864.2333333333333,31.066666666666666,833.1666666666666,873,857
5,30,863.8666666666667,31.066666666666666,832.8,874,851
6,30,863.4,31.866666666666667,831.5333333333333,872,854
7,30,863.3666666666667,32.6,830.7666666666667,870,853
8,30,864.9,31.333333333333332,833.5666666666667,872,853
9,30,864.3333333333334,31.266666666666666,833.0666666666667,871,857
10,30,863.7666666666667,30.833333333333332,832.9333333333333,872,852
